text,created_time,hashtags,shareCount,mentions,commentCount,playCount,collectCount,diggCount
OMG  Look What We Found In M&S Food  @M&S Food @Marks & Spencer  #mandsfood #mandsfoodhall #marksandspencerfood #marksandspencer #newinfood #newinfoods #newfoodfindsuk #pistachiocake #newcake #mands #mandslocal ,29/05/2025,"mandsfood, mandsfoodhall, marksandspencerfood, marksandspencer, newinfood, newinfoods, newfoodfindsuk, pistachiocake, newcake, mands, mandslocal",3,"@M&S Food, @Marks & Spencer",2,1140,6,36
WHO IS COLIN!!?! ☠️ #livinginlondon #londonexperiences #letsgoshopping #groceryshopping #mands #marksandspencer #vlog ,26/06/2024,"livinginlondon, londonexperiences, letsgoshopping, groceryshopping, mands, marksandspencer, vlog",528,,1426,455400,900,35200
#f #fyp #foru #fypp #foryoupage❤️❤️ #m&s #marksandspencer ,27/05/2025,"f, fyp, foru, fypp, foryoupage❤️❤️, m, marksandspencer",598,,39,57200,223,2681
The viral M&S stain removing wiped scanning through at only 63p!  Run don’t walk!  #marksandspencer #stainremover #hack #bargain ,28/05/2025,"marksandspencer, stainremover, hack, bargain",733,,20,81900,232,1760
"If you haven’t got yourself a Sparks card and joined the parent hood, DO IT NOW. Free cake - yes please. ☕️ #mumsoftiktok #motherhood #maternityleave #parenthood #postpartum #firsttimemum #marksandspencer @Marks & Spencer ",27/05/2025,"mumsoftiktok, motherhood, maternityleave, parenthood, postpartum, firsttimemum, marksandspencer",2035,@Marks & Spencer,32,119300,678,5085
It would feel so wrong if @M&S Food didn’t feature in our wedding day ‍♀️ Today marks the one year countdown to saying ‘I do’ and we couldn’t be more excited  #marksandspencer #mands #savingmoney #marksandsparks #weeklyfoodshop #budgeting #wedding #2026bride ,27/05/2025,"marksandspencer, mands, savingmoney, marksandsparks, weeklyfoodshop, budgeting, wedding, 2026bride",13,@M&S Food,85,25800,77,1121
#f #fyp #foru #fypp #foryoupage❤️❤️ #marksandspencer #m&s ,28/05/2025,"f, fyp, foru, fypp, foryoupage❤️❤️, marksandspencer, m",4,,2,1966,9,103
@Marks & Spencer has the cutest summer jewellery✨ #marksandspencer #holidayjewellery #summerjewellery #summeraccessories #holidayaccessories ,28/05/2025,"marksandspencer, holidayjewellery, summerjewellery, summeraccessories, holidayaccessories",0,@Marks & Spencer,5,446,2,51
"INSANE MARKS AND SPENCERS DUMPSTER DIVING UK JACKPOTS, #DUMPSTER DIVING #DUMPSTER DIVER #RECYCLING #CHARITY #FRUGAL #FOODWASTE #REUSE #RUBBISH #WASTE #SKIP #DUMPSTER #DIVER #FREE #FIND #FOUND #SCRAP #CURBSIDE #climate #climate change #environment",28/05/2025,,519,,271,112200,233,2721
She’s an @Marks & Spencer girlie now  #butteryellow #marksandspencer #yellowbag #summer #bagcharms #2025trends #summertrends #unboxing ,27/05/2025,"butteryellow, marksandspencer, yellowbag, summer, bagcharms, 2025trends, summertrends, unboxing",4,@Marks & Spencer,8,894,5,43
